index,text,tags,sub_tags,ground_truth,paper link,data_source
38,SARS-CoV-2 (coronavirus) was created by the USA to disrupt the European Union so that they could subsequently “save it”.,Conspiracy,"Covid19, Political, Science",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers
39,"COVID-19 (coronavirus) epidemic could have been stopped right at the start, but the large companies made a business out of keeping it going.",Conspiracy,"Company / Pharmacy / Organization, Covid19, Science",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers
42,China is responsible for the spread of the SARS-CoV-2 (coronavirus) – it is its revenge for the protests in Hong Kong.,Conspiracy,"Covid19, Political, Science",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers
43,The Chinese created SARS-CoV-2 (coronavirus) as a biological weapon which then got out of hand.,Conspiracy,"Covid19, Political, Science",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers
44,The Chinese government intentionally sells ineffective face masks and dubious tests for the coronavirus to Europe to make the course of the pandemic worse in those countries.,Conspiracy,"Covid19, Political, Science",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers
45,Bill Gates sponsors vaccines against COVID-19 so that he can spread nano-chips into people through them.,Conspiracy,"Company / Pharmacy / Organization, Covid19",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers
47,Widespread testing is a way for the government to obtain the DNA of the population so that it can subsequently harbor it and abuse it.,Conspiracy,"Covid19, Political, Science",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers
48,"Reporters, scientists, and government all take part in concealing important information about the association between COVID-19 and 5G network.",Conspiracy,"Covid19, Political, Science",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers
49,COVID-19 pandemic is intentionally used for the genocide of domestic population to make a room for migrants to move in.,Conspiracy,"Covid19, Regional",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.726076/full,CT papers
50,George Soros aimed to destroy the real Hungary through secret plots by increasing (Muslim) mass immigration to Hungary.,Conspiracy,"Regional, Religion",NO,https://www.tandfonline.com/doi/full/10.1080/2474736X.2021.1949358,CT papers
51,George Soros aimed to destroy the real Hungary through secret plots by the implementation of anti-Hungarian civil society organizations and universities inside Hungary.,Conspiracy,"Political, Regional",NO,https://www.tandfonline.com/doi/full/10.1080/2474736X.2021.1949358,CT papers
52,Russian government has purposively shot the airplane containing Kaczynski’s brother to kill him.,Conspiracy,Political,NO,https://www.tandfonline.com/doi/full/10.1080/2474736X.2021.1949358,CT papers
53,There is a secret German-led plot that – under the framework of European integration – wants to recolonize Poland and destroy Polish values.,Conspiracy,"Political, Regional",NO,https://www.tandfonline.com/doi/full/10.1080/2474736X.2021.1949358,CT papers
55,Evidence of unidentified flying objects and extraterrestrial visitors is being suppressed by the government.,Conspiracy,"Political, Science",NO,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers
56,The HIV/aids virus has been genetically engineered to wipe out certain sectors of the population.,Conspiracy,"Medicine, Science",NO,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers
57,The moon landing was a hoax.,Conspiracy,Science,NO,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers
58,Various wars in the Middle East were launched by oil companies.,Conspiracy,Political,NO,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers
59,The science behind global warming has been invented or distorted out of self-interest.,Conspiracy,Science,NO,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers
60,The US government covered up crucial information in the aftermath of J. F. Kennedy’s assassination.,Conspiracy,Political,NO,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers
61,Ebola is a man-made virus.,Conspiracy,Science,NO,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers
62,Red Bull contains illegal substances that raise the desire for the product.,Conspiracy,"Company / Pharmacy / Organization, RedBull",NO,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers
66,"In the beginning, Red Bull was illegal for minors in America, which raises questions as to its subsequent legalization.",Conspiracy,"Company / Pharmacy / Organization, RedBull",NO,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers
67,"Regular consumption of Red Bull raises dopamine levels, which causes damage in the long term.",Conspiracy,"Company / Pharmacy / Organization, RedBull",NO,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers
75,The government refuses to tell us the truth about flying saucers.,Conspiracy,Science,NO,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers
78,"There are all sorts of unknown and secret organizations that keep track of what citizens are doing, put impactful events in motion, and make sure that we receive certain news at a particular time. A lot of what we see, hear, think, or do is not a coincidence, but a result of secret organizations that influence us.",Conspiracy,Company / Pharmacy / Organization,NO,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers
80,"The NSA reads the content of 2,000 e-mail messages and Internet chats every month, and that most of these messages are sent by people who are not communicating about terrorist plots. The government desperately wanted to keep this practice a secret.",Conspiracy,Political,NO,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers
81,The US government has been linked to the 9/11 attacks. It is said that there was advance knowledge of the attacks among high-level government officials. There are many inconsistencies in the official accounts and the current ongoing inquests are still uncovering new information that casts these accounts into serious doubt.,Conspiracy,"9/11, Political",NO,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers
82,British government was involved in the death of Princess Diana.,Conspiracy,Political,NO,https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2331,CT papers
86,"ISIS was created by the United States and Israel, in order to create chaos in the Middle East and make Islam look bad.",Conspiracy,Political,NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers
87,"The United States carried out the attacks of 11 September 2001 themselves, in order to invade countries in the Middle East and make Islam look bad.",Conspiracy,"9/11, Political",NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers
88,The holocaust was largely made up in order to secure the State of Israel.,Conspiracy,Political,NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers
89,Jewish bankers control the world economy and most governments.,Conspiracy,Religion,NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers
90,"The economic crisis of 2007 was created deliberately by bankers to make lower and middle income groups poorer, and themselves richer.",Conspiracy,Company / Pharmacy / Organization,NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers
91,"The medical and pharmaceutical industry deliberately withhold a cure against cancer, in order to continue earning money from cancer patients.",Conspiracy,Company / Pharmacy / Organization,NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers
92,Big companies and financial institutions are closely connected with politics in order to weaken labor unions and decrease social securities.,Conspiracy,Company / Pharmacy / Organization,NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers
93,"Financial organizations such as the World Bank, IMF, and the European Central Bank are under the supervision of major companies to make the rich richer and the poor poorer.",Conspiracy,Company / Pharmacy / Organization,NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers
94,All the important media companies are dominated by a left‐wing elite that continuously promotes left‐wing politics.,Conspiracy,Company / Pharmacy / Organization,NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers
95,Americans keep UFOs that landed on Earth hidden at an air base in Roswell.,Conspiracy,Regional,NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers
96,The Apollo‐moon landings were fake and filmed by Americans in a studio.,Conspiracy,Science,NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers
97,A secret society—the Illuminati—has controlled most governments for centuries in order to form one world government.,Conspiracy,Company / Pharmacy / Organization,NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers
98,Princess Diana was murdered by the British Royal family because she knew too many secrets about this family.,Conspiracy,Political,NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.3442,CT papers
103,The Catholic Church is trying to keep the true origins of Christianity a secret.,Conspiracy,Religion,NO,https://www.regentaudio.com/products/the-da-vinci-code-fact-or-fiction,Link
105,Emperor Constantine re-invented Christianity.,Conspiracy,Religion,NO,https://www.regentaudio.com/products/the-da-vinci-code-fact-or-fiction,Link
106,"Leonardo da Vinci was the head of a secret society formed to preserve the true origins of Christianity, and he concealed hidden attacks on the Christian faith in his art.",Conspiracy,"Company / Pharmacy / Organization, Religion",NO,https://www.regentaudio.com/products/the-da-vinci-code-fact-or-fiction,Link
107,Jesus had a child and his physical descendants are alive in the world today.,Conspiracy,Religion,NO,https://www.regentaudio.com/products/the-da-vinci-code-fact-or-fiction,Link
123,There is a conspiracy in academia to oppress and exclude people who believe in intelligent design.,Conspiracy,Company / Pharmacy / Organization,NO,https://en.wikipedia.org/wiki/Expelled:_No_Intelligence_Allowed,WP
124,"The scientific theory of evolution is a contributor to communism, fascism, atheism, eugenics, and in particular Nazi atrocities in the Holocaust.",Conspiracy,Science,NO,https://en.wikipedia.org/wiki/Expelled:_No_Intelligence_Allowed,WP
125,Jews are secretly in control of the Islamic State.,Conspiracy,Religion,NO,,WP
128,Hilary Clinton had murdered an FBI agent.,Conspiracy,Political,NO,https://academic.oup.com/book/7535/chapter-abstract/152508698?redirectedFrom=fulltext,CT papers
129,Hilary Clinton had sold weapons to ISIS.,Conspiracy,Political,NO,https://academic.oup.com/book/7535/chapter-abstract/152508698?redirectedFrom=fulltext,CT papers
149,George Bush and other Republicans conspired with Iranian officials to delay the release of American hostages until after the 1980 elections.,Conspiracy,Political,NO,https://www.jstor.org/stable/3791630,CT papers
150,Anita Hill was part of an organized conspiracy against Judge Clarence Thomas.,Conspiracy,Political,NO,https://www.jstor.org/stable/3791630,CT papers
153,The government deliberately spread the AIDS virus in the homosexual community.,Conspiracy,"Gender / Sexual Orientation, Political",NO,https://www.jstor.org/stable/3791630,CT papers
154,The government deliberately spread the AIDS virus in the black community.,Conspiracy,"Political, Racial",NO,https://www.jstor.org/stable/3791630,CT papers
155,The Japanese are deliberately conspiring to destroy the American economy.,Conspiracy,Religion,NO,https://www.jstor.org/stable/3791630,CT papers
156,The American government deliberately put drugs into the inner city communities.,Conspiracy,Political,NO,https://www.jstor.org/stable/3791630,CT papers
158,Government agencies have been secretly involved in the assassination of their own citizens.,Conspiracy,Political,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
159,"The deaths of certain high-profile public figures have been the result of covert, government-sanctioned operations.",Conspiracy,Political,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
160,Certain world leading political figures who died untimely deaths were in fact “taken out” by government operatives.,Conspiracy,Political,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
161,"For strategic reasons, the government permits certain terrorist activities to occur which could otherwise be prevented.",Conspiracy,Political,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
162,"Some acts of terrorism, which have resulted in the deaths of many civilians, have been secretly directed by government operatives.",Conspiracy,Political,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
163,High-level politicians have had certain people killed in order to prevent embarrassing events from becoming publicly known.,Conspiracy,Political,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
164,Government agencies secretly keep certain outspoken celebrities and citizens under constant surveillance.,Conspiracy,Political,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
165,The government lies about their knowledge of terrorist activities.,Conspiracy,Political,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
166,"There are ongoing, hidden efforts to marginalize, control, or destroy certain groups of people through the use of political policies.",Conspiracy,Political,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
167,Certain celebrities and/or public figures actually faked their own deaths in order to escape the spotlight.,Conspiracy,Others,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
168,Viruses and/or diseases have been deliberately disseminated to infect certain populations.,Conspiracy,"Medicine, Science",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
171,"Secret organizations communicate with extra terrestrials, but keep this fact from the public.",Conspiracy,Company / Pharmacy / Organization,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
172,Some UFO sightings and rumors are planned or staged in order to distract the public from real alien contact.,Conspiracy,Company / Pharmacy / Organization,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
173,Some existing technologies are the result of reverse engineering alien technology.,Conspiracy,"Science, Technology",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
174,Space missions are deliberately sabotaged so that the public does not learn of existing alien activity in the solar system.,Conspiracy,Science,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
175,Movies and TV shows featuring aliens are a way of preparing the population for the news that aliens are real and have visited earth.,Conspiracy,Science,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
178,Certain significant world events have been the result of the activity of a small group who secretly manipulate world politics.,Conspiracy,Company / Pharmacy / Organization,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
179,"A small, secret group of people is responsible for making all major world decisions, such as going to war.",Conspiracy,Company / Pharmacy / Organization,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
180,Members of a secret group have infiltrated governments and powerful organizations in order to 1 day bring their group to the point of global control.,Conspiracy,Company / Pharmacy / Organization,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
183,"Small groups of people are in possession of secret knowledge which would change our understanding of the world, and are deliberately keeping it hidden.",Conspiracy,Company / Pharmacy / Organization,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
186,Experiments involving new drugs are carried out on the general public without their knowledge or consent.,Conspiracy,"Company / Pharmacy / Organization, Medicine, Science",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
188,Certain natural disasters have in fact been the result of secret testing of powerful and advanced technology with unknown capabilities.,Conspiracy,"Environment, Science",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
189,The pharmaceutical industry administers harmful treatments without people’s consent in order to keep people sick and boost drug sales.,Conspiracy,Company / Pharmacy / Organization,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
190,Technology with mind-control capacities exists and is currently being used on people without their knowledge.,Conspiracy,Company / Pharmacy / Organization,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
192,Certain chemicals are put in the water supply in order to control the people.,Conspiracy,Science,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
193,Groups of scientists deliberately attempt to create panic about future risks because it is in their interests to do so.,Conspiracy,Science,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
194,Advanced technology is secretly used to placate the people and suppress dissent.,Conspiracy,"Science, Technology",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
195,"Progress toward a cure for cancer, AIDS, and other diseases is deliberately being hindered.",Conspiracy,"Medicine, Science",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
196,Some viruses and/or diseases which many people are infected with were created in laboratories as bio-weapons.,Conspiracy,"Medicine, Science",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
201,Government funded scientists manipulate evidence in order to support existing government policy.,Conspiracy,"Company / Pharmacy / Organization, Science",NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
204,The government has a large amount of confidential data on every citizen without their knowledge or permission.,Conspiracy,Political,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
205,"The government is involved in the murder of innocent citizens and/or well-known public figures, and keeps this a secret.",Conspiracy,Political,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
206,"The government permits or perpetrates acts of terrorism on its own soil, disguising its involvement.",Conspiracy,Political,NO,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00279/full,CT papers
207,"Government and military exercises (or ‘war games’) were intentionally held on September 11, 2001 to deliberately confuse military personnel and therefore to allow the attacks to take place.",Conspiracy,"9/11, Political",NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.1583,CT papers
208,The World Trade Centre towers were brought down by a controlled demolition.,Conspiracy,"9/11, Political",NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.1583,CT papers
210,"Because successful air-ground connections are near impossible, mobile phone calls from passengers on allegedly hijacked planes were likely fabrications or never made at all.",Conspiracy,"9/11, Political",NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.1583,CT papers
211,Intact windows at the Pentagon and a lack of debris prove that the Pentagon was not hit by an aircraft.,Conspiracy,"9/11, Political",NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.1583,CT papers
212,"The Pentagon was not hit by a passenger aircraft but something smaller, possibly a missile.",Conspiracy,"9/11, Political",NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.1583,CT papers
213,"United Airlines Flight 93, which is said to have crashed in Pennsylvania, was actually downed by the US military.",Conspiracy,Political,NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.1583,CT papers
214,"The US military were ordered to ‘stand down’ (that is, not to respond) prior to the 9/11 attacks so as to allow the attacks to occur.",Conspiracy,"9/11, Political",NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.1583,CT papers
215,Reports that some of the 9/11 plane hijackers are still alive prove that others were responsible for the attacks.,Conspiracy,"9/11, Political",NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.1583,CT papers
216,The fact that the US government is withholding information about the 9/11 attacks is evidence of a cover-up.,Conspiracy,"9/11, Political",NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.1583,CT papers
217,Officials investigating the 9/11 attacks have sought to suppress the emergence of evidence that might contradict the ‘official account’.,Conspiracy,"9/11, Political",NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.1583,CT papers
218,"Because they had foreknowledge of the attacks, a number of individuals and/or companies were able to make a profit by selling shares in trades likely to be affected the attacks (e.g. airline companies).",Conspiracy,"9/11, Company / Pharmacy / Organization, Political",NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.1583,CT papers
219,The US government allowed the 9/11 attacks to take place so that it would have an excuse to achieve foreign (e.g. wars in Afghanistan and Iraq) and domestic (e.g. attacks on civil liberties) goals that had been determined prior to the attacks.,Conspiracy,"9/11, Political",NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.1583,CT papers
220,The fact that neither George W. Bush nor his security personnel responded to the 9/11 attacks in a manner that indicated the President might be in danger is proof that they had privileged access to the planning and execution of the attacks.,Conspiracy,"9/11, Political",NO,https://onlinelibrary.wiley.com/doi/10.1002/acp.1583,CT papers
221,One or more rogue ‘cells’ in the British Secret Service constructed and carried out a plot to kill Diana.,Conspiracy,Political,NO,https://pubmed.ncbi.nlm.nih.gov/18512419/,CT papers
222,"There was an official campaign by MI6 to assassinate Diana, sanctioned by elements of the establishment.",Conspiracy,Political,NO,https://pubmed.ncbi.nlm.nih.gov/18512419/,CT papers
223,Diana faked her own death so she and Dodi could retreat into isolation.,Conspiracy,Political,NO,https://pubmed.ncbi.nlm.nih.gov/18512419/,CT papers
224,Diana had to be killed because the British government could not accept that the mother of the future king was involved with a Muslim Arab.,Conspiracy,Political,NO,https://pubmed.ncbi.nlm.nih.gov/18512419/,CT papers
225,The European Union is trying to take control of the United Kingdom.,Conspiracy,Political,NO,https://explore.bps.org.uk/content/bpsspr/9/2/18,CT papers
226,The government covers up the existence of toxins in the food supply.,Conspiracy,"Political, Science",NO,https://explore.bps.org.uk/content/bpsspr/9/2/18,CT papers
236,The global elite hold regular secret meetings in a top-secret location to determine the course of world politics.,Conspiracy,Company / Pharmacy / Organization,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
237,"Lee Harvey Oswald did not act alone in the assassination of President John F. Kennedy – FBI, CIA or the Mafia likely played a role.",Conspiracy,Political,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
238,Computer companies deliberately release programs with errors in order to sell future upgrades.,Conspiracy,Company / Pharmacy / Organization,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
240,The war in Iraq has less to do with promoting democracy than it does with controlling oil production in the East.,Conspiracy,Political,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
241,Pharmaceutical companies and various government agencies conspire to maintain profits by ensuring that the general public uses only conventional medicine.,Conspiracy,Company / Pharmacy / Organization,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
242,Car manufacturers and oil producers collude to suppress the development of environmentally friendly alternatives to the internal-combustion engine.,Conspiracy,Company / Pharmacy / Organization,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
244,The CIA was involved in the assassination of Martin Luther King.,Conspiracy,Political,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
245,The police are deliberately allowing drugs into poorer communities.,Conspiracy,Political,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
246,A UFO crashed in New Mexico in 1947 and technology and alien bodies were recovered. The US military has been trying to cover this up ever since.,Conspiracy,"Political, Science",NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
247,"United States President Barack Obama’s birth certificate, stating that he was born in Hawaii, is a forgery.",Conspiracy,Political,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
248,The mass suicide of Jonestown was actually a CIA-backed exercise in mind control and brainwashing.,Conspiracy,Political,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
250,The United States uses a secret military base known as Area 51 to investigate aliens.,Conspiracy,Political,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
252,"There have been many forms of free energy around for decades, but the corporations that rule oil and gas are snuffing them out.",Conspiracy,Company / Pharmacy / Organization,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
253,"Social networking sites, such as Facebook and Twitter, have been created or financed by governments in order to spy on users.",Conspiracy,Company / Pharmacy / Organization,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
254,"In spite of evidence that fluoride is extremely toxic, authorities continue to add fluoride to our water supplies, because to do otherwise would be to admit liability.",Conspiracy,Company / Pharmacy / Organization,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
255,There is a deliberate government conspiracy to suppress the rights and prospects of Māori in New Zealand.,Conspiracy,Political,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
256,The New Zealand government has covered up evidence that genetically modified crops have contaminated our agricultural system.,Conspiracy,Political,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
257,The Holocaust has been grossly exaggerated.,Conspiracy,History,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
258,The bird flu virus in East Asia was a manmade virus designed to disrupt the economy of the region.,Conspiracy,Science,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
259,The CIA and the US Department of Defence spent millions of dollars on developing a psychic surveillance program.,Conspiracy,Political,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
262,Worldwide governments and the military have been spraying mysterious substances into the atmosphere under the cover of normal aircraft contrails.,Conspiracy,Political,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
264,Barcodes on everyday products are used by the government to track and spy on its citizens.,Conspiracy,Political,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
265,U.S. and Indian militaries deliberately caused the Indian Ocean tsunamis with electromagnetic pulse technology.,Conspiracy,Political,NO,https://researcharchive.vuw.ac.nz/handle/10063/6420,CT papers
